Train_No,Origin_Station,Destination_Station,Total_Distance,Number_of_Stops,Journey_Duration_Hours
107,SAWANTWADI R,MADGOAN JN.,78.0,2,1.75
108,MADGOAN JN.,SAWANTWADI R,83.0,2,1.92
128,MADGOAN JN.,CHHATRAPATI,978.0,20,22.08
290,DELHI-SAFDAR,DELHI-SAFDAR,2694.0,12,152.0
401,AURANGABAD,VARANASI JN.,1618.0,10,36.5
421,LUCKNOW JN.,SHRI MATA VA,1276.0,3,33.0
422,SHRI MATA VA,LUCKNOW JN.,1277.0,3,26.75
477,SIRSA,SIRSA,2616.0,12,51.17
502,RAJENDRANAGA,AMBALA CANTT,1206.0,7,23.0
504,PATNA JN.,BATHINDA JN,1313.0,1,25.0
506,PATNA JN.,PATIALA,1161.0,1,25.5
557,URKURA,PANJIPARA,1301.0,0,11.5
604,PATNA JN.,AMRITSAR JN.,1429.0,1,27.5
1011,CST-MUMBAI,NAGPUR JN.(C,841.0,16,14.0
1037,LOKMANYA TIL,SAWANTWADI R,513.0,8,9.33
1038,SAWANTWADI R,LOKMANYA TIL,503.0,8,10.25
1045,LOKMANYA TIL,KARMALI,563.0,9,9.83
1119,AJNI,KARMALI,1329.0,22,24.67
1120,KARMALI,AJNI,1319.0,22,24.5
1122,KARMALI,CST-MUMBAI,569.0,12,12.0
1196,NAGPUR JN.(C,KARMALI,1332.0,24,25.67
1301,PUNE JN.,MANGALORE JN,976.0,15,17.67
1302,MANGALORE JN,PUNE JN.,973.0,15,21.42
1442,DELHI-SAFDAR,KHADKI,1581.0,11,39.0
1655,PUNE JN.,JABALPUR,1050.0,11,19.5
1656,JABALPUR,PUNE JN.,1050.0,11,18.58
1705,BANDRA TERMI,JABALPUR,1261.0,12,21.42
1706,JABALPUR,BANDRA TERMI,1262.0,12,20.92
1707,JABALPUR,ATARI JN,1360.0,15,26.5
1708,ATARI JN,JABALPUR,1362.0,15,26.58
2025,CST-MUMBAI,KARMALI,579.0,5,8.33
2026,KARMALI,CST-MUMBAI,569.0,5,8.5
2191,JABALPUR,SANTRAGACHI,1123.0,14,19.83
2192,SANTRAGACHI,JABALPUR,1123.0,14,19.17
2195,REWA,BHOPAL,551.0,8,9.67
2196,BHOPAL,REWA,549.0,8,10.0
2515,TRIVANDRUM C,SILCHAR,3939.0,56,76.92
2651,PALANI,POLLACHI,62.0,1,1.42
2652,POLLACHI,PALANI,62.0,1,1.42
2731,HYDERABAD DE,JAIPUR JN.,1854.0,27,38.0
2732,JAIPUR JN.,HYDERABAD DE,1853.0,27,35.42
2821,PUNE JN.,SANTRAGACHI,2066.0,12,31.75
2822,SANTRAGACHI,PUNE JN.,2073.0,12,32.25
2833,RAJKOT,SANTRAGACHI,2332.0,27,42.25
2834,SANTRAGACHI,RAJKOT,2351.0,27,40.67
2841,SANTRAGACHI,CHENNAI CENT,1656.0,10,26.67
2842,CHENNAI CENT,SANTRAGACHI,1656.0,10,29.17
2845,PUNE JN.,HATIA,1770.0,15,31.58
2846,HATIA,PUNE JN.,1791.0,15,29.75
3101,KOLKATA,PURI,523.0,7,11.92
3102,PURI,KOLKATA,522.0,7,11.67
3301,ASANSOL MAIN,DHANBAD JN.,58.0,11,1.42
3302,DHANBAD JN.,ASANSOL MAIN,58.0,11,1.42
3305,DHANBAD JN.,KUSUNDA,3.0,0,0.33
3306,KUSUNDA,DHANBAD JN.,3.0,0,0.33
3307,SONARDIH,PHULWARTANR,4.0,2,0.58
3308,PHULWARTANR,SONARDIH,4.0,2,0.5
3501,JASIDIH JN.,ANAND VIHAR,1193.0,3,19.67
3502,ANAND VIHAR,JASIDIH JN.,1193.0,3,21.67
4401,ANAND VIHAR,SHRI MATA VA,710.0,11,14.67
4402,SHRI MATA VA,ANAND VIHAR,710.0,11,14.25
4409,DELHI JN.,SHRI MATA VA,653.0,5,14.33
4410,SHRI MATA VA,DELHI JN.,653.0,5,13.75
4419,MADGOAN JN.,HAZRAT NIZAM,1916.0,11,30.25
4420,HAZRAT NIZAM,MADGOAN JN.,1924.0,11,28.08
4735,BIKANER JN.,HARIDWAR JN,691.0,15,14.67
4736,HARIDWAR JN,BIKANER JN.,691.0,15,13.58
4767,HANUMANGARH,SHRI GANGANA,67.0,8,1.67
4768,SHRI GANGANA,HANUMANGARH,67.0,8,1.83
4769,HANUMANGARH,SHRI GANGANA,67.0,8,1.75
4770,SHRI GANGANA,HANUMANGARH,67.0,8,1.58
4771,SADULPUR JN,SHRI GANGANA,232.0,22,6.17
4772,SHRI GANGANA,SADULPUR JN,232.0,22,6.25
4773,SHRI GANGANA,SURATGARH JN,125.0,14,3.08
4774,SURATGARH JN,SHRI GANGANA,125.0,8,2.58
4801,PARVATSAR CI,MAKRANA JN.,21.0,1,1.0
4802,MAKRANA JN.,PARVATSAR CI,21.0,1,1.0
4831,JODHPUR JN.,HARIDWAR JN,882.0,20,21.25
4832,HARIDWAR JN,JODHPUR JN.,881.0,20,19.0
4851,MERTA ROAD J,RATANAGARH J,197.0,19,4.67
4852,RATANAGARH J,MERTA ROAD J,197.0,19,5.08
4853,RATANAGARH J,CHURU,42.0,4,1.25
4854,CHURU,RATANAGARH J,42.0,4,1.0
4921,SAHARANPUR J,AMBALA CANTT,81.0,11,1.75
4922,AMBALA CANTT,SAHARANPUR J,81.0,11,1.92
4991,PATHANKOT JN,JAMMU TAWI,99.0,12,2.5
4992,JAMMU TAWI,PATHANKOT JN,99.0,12,2.33
5061,GORAKHPUR JN,BARHNI,112.0,3,3.08
5062,BARHNI,GORAKHPUR JN,112.0,3,2.75
5065,CHHAPRA JN.,LUCKNOW JN.,503.0,13,12.75
5066,LUCKNOW JN.,CHHAPRA JN.,505.0,13,12.0
5105,GORAKHPUR JN,BASTI,64.0,2,1.83
5106,BASTI,GORAKHPUR JN,64.0,2,1.5
5305,KANPUR ANWAR,FARRUKHABAD,136.0,9,3.5
5306,FARRUKHABAD,KANPUR ANWAR,136.0,9,2.92
5309,BAREILLY CIT,LALKUA JN.,81.0,4,1.83
5310,LALKUA JN.,BAREILLY CIT,81.0,4,1.92
5521,JAMALPUR JN.,SAHARSA JN.,81.0,10,3.75
5522,SAHARSA JN.,JAMALPUR JN.,81.0,10,2.83
5613,JHALAWAR CIT,KOTA,85.0,9,2.08
5614,KOTA,JHALAWAR CIT,85.0,7,2.25
5619,NORTH LAKHIM,MURKEONG SEL,153.0,18,4.17
5620,MURKEONG SEL,NORTH LAKHIM,153.0,18,4.08
5631,GUWAHATI,SILCHAR,380.0,8,12.42
5632,SILCHAR,GUWAHATI,379.0,8,12.42
5715,NEW JALPAIGU,KISHANGANJ,87.0,0,2.17
5716,KISHANGANJ,NEW JALPAIGU,87.0,0,2.5
5719,KATIHAR JN.,SILIGURI JN.,204.0,9,4.0
5720,SILIGURI JN.,KATIHAR JN.,205.0,9,5.0
5863,RANGIYA JN.,RANGAPARA NO,89.0,13,3.08
5864,RANGAPARA NO,RANGIYA JN.,88.0,13,2.75
5865,RANGIYA JN.,MURKEONG SEL,426.0,51,12.08
5866,MURKEONG SEL,RANGIYA JN.,425.0,51,11.75
6001,CHENNAI EGMO,TIRUNELVELI,649.0,12,12.67
6002,TIRUNELVELI,CHENNAI EGMO,649.0,13,12.5
6006,ERNAKULAM. J,CHENNAI CENT,699.0,12,15.08
6009,SANTRAGACHI,PONDICHERRY,1844.0,25,30.08
6010,PONDICHERRY,SANTRAGACHI,1843.0,25,33.25
6041,CHENNAI CENT,QUILON,849.0,17,16.67
6042,QUILON,CHENNAI CENT,851.0,18,16.25
6043,CHENNAI CENT,QUILON,849.0,16,16.0
6044,QUILON,CHENNAI CENT,852.0,17,16.08
6046,QUILON,CHENNAI CENT,852.0,17,18.0
6047,CHENNAI CENT,QUILON,849.0,17,16.17
6048,QUILON,CHENNAI CENT,852.0,18,17.0
6049,CHENNAI EGMO,QUILON,855.0,17,15.08
6050,QUILON,CHENNAI EGMO,857.0,18,16.5
6053,KOCHUVELI,MANGALORE JN,626.0,12,10.58
6054,MANGALORE JN,KOCHUVELI,627.0,12,13.33
6057,SANTRAGACHI,CHENNAI CENT,1656.0,17,29.67
6058,CHENNAI CENT,SANTRAGACHI,1655.0,17,27.75
6065,CHENGALPATTU,MADURAI JN,500.0,11,13.42
6066,MADURAI JN,CHENGALPATTU,501.0,11,10.58
6067,CHENGALPATTU,COIMBATORE,522.0,7,9.92
6068,COIMBATORE,CHENGALPATTU,522.0,7,11.92
6081,COIMBATORE,POLLACHI,45.0,2,1.17
6082,POLLACHI,COIMBATORE,45.0,2,1.17
6412,DELHI-SAFDAR,PAYYANUR,2462.0,19,53.17
6512,MARIKUPPAM,BANASWADI,77.0,12,2.33
6513,BANGARPET JN,MARIKUPPAM,17.0,4,0.58
6541,YESVANTPUR J,PANDHARPUR,881.0,12,17.58
6542,PANDHARPUR,YESVANTPUR J,878.0,12,16.75
6547,YESVANTPUR J,ERNAKULAM. J,632.0,12,11.75
6548,ERNAKULAM. J,YESVANTPUR J,634.0,11,13.75
6579,YESVANTPUR J,VISAKHAPATNA,1089.0,19,20.0
6580,VISAKHAPATNA,YESVANTPUR J,1086.0,19,19.33
6581,YESVANTPUR J,BELGAUM,607.0,83,13.27
6582,BELGAUM,YESVANTPUR J,604.0,83,13.27
6591,YESVANTPUR J,HOSUR,62.0,7,1.5
6592,HOSUR,YESVANTPUR J,61.0,7,1.58
6593,WHITE FIELD,BAIYYAPPANAH,10.0,2,0.42
6594,BAIYYAPPANAH,WHITE FIELD,10.0,2,0.42
6595,YESVANTPUR J,DEVANHALLI,33.0,5,0.83
6596,DEVANHALLI,YESVANTPUR J,33.0,5,1.17
6647,KORBA,BILASPUR JN.,89.0,6,2.17
6648,BILASPUR JN.,KORBA,89.0,6,2.5
6769,PALGHAT TOWN,PALANI,116.0,9,2.67
6770,PALANI,PALGHAT TOWN,116.0,9,3.08
6851,KARAIKAL,NAGORE,10.0,1,0.33
6852,NAGORE,KARAIKAL,10.0,1,0.42
6853,KARAIKAL,NAGORE,10.0,1,0.38
6854,NAGORE,KARAIKAL,10.0,1,0.42
6919,HUBLI JN.,BIJAPUR JN,247.0,34,6.93
6920,BIJAPUR JN,HUBLI JN.,248.0,34,6.85
7005,HYDERABAD DE,RAXAUL JN.,2276.0,32,44.0
7006,RAXAUL JN.,HYDERABAD DE,2297.0,32,45.75
7007,SECUNDERABAD,DARBHANGA JN,2023.0,25,39.75
7008,DARBHANGA JN,SECUNDERABAD,2033.0,26,41.17
7016,KACHEGUDA,VISAKHAPATNA,670.0,16,13.08
7044,TIRUPATI,VISAKHAPATNA,735.0,9,15.08
7061,KAKINADA POR,VIJAYWADA JN,217.0,6,4.5
7062,VELANKANNI,TIRUPATI,437.0,12,12.5
7075,SECUNDERABAD,KAKINADA TOW,554.0,15,10.17
7076,KAKINADA TOW,SECUNDERABAD,553.0,15,11.83
7109,HYDERABAD DE,QUILON,1589.0,38,31.25
7110,QUILON,HYDERABAD DE,1593.0,38,32.25
7113,KARIM NAGAR,QUILON,1543.0,35,31.17
7133,HYDERABAD DE,QUILON,1508.0,37,31.67
7134,QUILON,HYDERABAD DE,1511.0,37,32.25
7141,HYDERABAD DE,QUILON,1560.0,37,30.92
7142,QUILON,HYDERABAD DE,1563.0,37,30.25
7146,TIRUPATI,KACHEGUDA,763.0,14,13.5
7149,SECUNDERABAD,GUWAHATI,2563.0,35,49.25
7211,KAKINADA TOW,QUILON,1433.0,34,30.67
7212,QUILON,KAKINADA TOW,1436.0,34,28.0
7213,VIJAYWADA JN,QUILON,1221.0,27,26.5
7214,QUILON,VIJAYWADA JN,1226.0,28,24.08
7217,NARASAPUR,QUILON,1360.0,35,30.67
7218,QUILON,NARASAPUR,1363.0,35,28.25
7410,TIRUPATI,AURANGABAD,1147.0,27,24.25
7417,TIRUPATI,NAGARSOL,1330.0,31,28.42
7418,NAGARSOL,TIRUPATI,1331.0,31,30.0
7425,KACHEGUDA,KAKINADA POR,537.0,13,11.25
7426,KAKINADA POR,KACHEGUDA,537.0,13,11.33
7429,SECUNDERABAD,TIRUPATI,742.0,9,12.5
7430,TIRUPATI,SECUNDERABAD,744.0,9,13.75
7431,KAKINADA TOW,TIRUPATI,597.0,11,11.0
7432,TIRUPATI,KAKINADA TOW,597.0,12,11.0
7435,KAKINADA TOW,SECUNDERABAD,555.0,12,12.0
7436,SECUNDERABAD,KAKINADA TOW,554.0,13,12.08
7438,KACHEGUDA,TATANAGAR JN,1533.0,26,30.75
7439,TATANAGAR JN,KACHEGUDA,1533.0,26,30.17
7487,TIRUPATI,VISAKHAPATNA,735.0,9,12.25
7505,AURANGABAD,QUILON,1973.0,47,40.75
7509,ADILABAD,QUILON,1886.0,45,38.33
7517,BIDAR,PANDHARPUR,350.0,7,9.25
7525,SILIGURI JN.,NEW BONGAIGA,322.0,31,9.25
7526,NEW BONGAIGA,SILIGURI JN.,322.0,31,10.0
7603,KACHEGUDA,KRISHNA RAJA,624.0,12,12.0
7604,KRISHNA RAJA,KACHEGUDA,624.0,12,15.5
7607,NANDED,TIRUPATI,1014.0,17,19.25
7608,TIRUPATI,NANDED,1016.0,17,19.75
7613,NIZAMABAD,QUILON,1636.0,36,35.0
7614,QUILON,NIZAMABAD,1641.0,37,35.0
7644,KAKINADA TOW,TIRUPATI,597.0,9,11.58
7645,RENIGUNTA JN,KAKINADA TOW,587.0,8,9.25
7757,SECUNDERABAD,VIJAYWADA JN,314.0,4,5.25
7758,VIJAYWADA JN,SECUNDERABAD,314.0,4,5.33
7941,KAKINADA TOW,RENIGUNTA JN,587.0,10,11.0
7942,TIRUPATI,KAKINADA TOW,597.0,11,10.5
8001,KHARAGPUR,JHARGRAM,39.0,0,0.58
8002,JHARGRAM,KHARAGPUR,39.0,0,0.75
8014,MIDNAPORE,KHARAGPUR,12.0,2,0.67
8017,KHARAGPUR,JHARGRAM,39.0,4,0.83
8018,JHARGRAM,KHARAGPUR,39.0,4,0.92
8035,KHARAGPUR,BALASORE,120.0,17,2.92
8036,BALASORE,KHARAGPUR,120.0,17,3.0
8051,KHARAGPUR,JHARGRAM,39.0,1,0.48
8052,JHARGRAM,KHARAGPUR,39.0,3,0.75
8061,SHALIMAR,JAIPUR JN.,1847.0,22,34.25
8062,JAIPUR JN.,SHALIMAR,1838.0,22,34.58
8063,KHARAGPUR,BANKURA,115.0,15,3.0
8064,YESVANTPUR J,HOWRAH JN.,2039.0,14,32.17
8065,KHARAGPUR,BANKURA,115.0,15,2.67
8082,BANKURA,BISHNUPUR,30.0,4,0.5
8087,BISHNUPUR,BANKURA,30.0,4,0.47
8101,CHAIBASA,CHAKARADHARP,40.0,3,1.33
8102,CHAKARADHARP,CHAIBASA,40.0,3,0.92
8301,SAMBALPUR JN,BANASWADI,1567.0,13,31.17
8302,BANASWADI,SAMBALPUR JN,1567.0,13,30.08
8403,PURI,SANTRAGACHI,495.0,7,9.33
8404,SANTRAGACHI,PURI,497.0,7,8.83
8501,VISAKHAPATNA,SECUNDERABAD,700.0,11,13.0
8502,SECUNDERABAD,VISAKHAPATNA,698.0,11,12.33
8511,KIRANDUL,VISAKHAPATNA,471.0,10,12.0
8512,VISAKHAPATNA,KIRANDUL,471.0,10,11.75
8567,VISAKHAPATNA,QUILON,1571.0,27,28.75
8568,QUILON,VISAKHAPATNA,1578.0,27,30.75
8573,VISAKHAPATNA,TIRUPATI,760.0,13,14.5
8574,TIRUPATI,VISAKHAPATNA,759.0,13,15.33
8581,BALHARSHAH,CHANDAFORT,11.0,0,0.33
8582,CHANDAFORT,BALHARSHAH,11.0,0,0.25
8617,RANCHI,ANAND VIHAR,1365.0,13,23.83
8618,ANAND VIHAR,RANCHI,1356.0,13,23.67
8627,HOWRAH JN.,RANCHI,484.0,11,9.33
8628,RANCHI,HOWRAH JN.,481.0,12,9.5
8872,DURG,GONDIA JN.,133.0,15,2.75
9003,BANDRA TERMI,HAZRAT NIZAM,1355.0,3,13.92
9004,HAZRAT NIZAM,BANDRA TERMI,1358.0,3,13.92
9005,MUMBAI CENTR,NEW DELHI,1373.0,2,15.92
9006,NEW DELHI,MUMBAI CENTR,1376.0,2,16.08
9011,BANDRA TERMI,BIKANER JN.,1209.0,18,22.17
9012,BIKANER JN.,BANDRA TERMI,1211.0,18,21.92
9433,BANDRA TERMI,GANDHIDHAM J,780.0,12,13.42
9434,GANDHIDHAM J,BANDRA TERMI,780.0,12,13.67
9621,AJMER JN.,BANDRA TERMI,1281.0,10,22.25
9622,BANDRA TERMI,AJMER JN.,1281.0,10,21.17
9721,JAIPUR JN.,UDAIPUR CITY,429.0,10,7.25
9722,UDAIPUR CITY,JAIPUR JN.,429.0,10,7.0
9761,SHRI GANGANA,SURATGARH JN,125.0,11,2.75
9809,KOTA,HAZRAT NIZAM,447.0,9,7.17
9810,HAZRAT NIZAM,KOTA,450.0,9,8.0
10103,CST-MUMBAI,MADGOAN JN.,590.0,18,11.58
10104,MADGOAN JN.,CST-MUMBAI,594.0,18,12.42
10111,CST-MUMBAI,MADGOAN JN.,590.0,18,11.67
10112,MADGOAN JN.,CST-MUMBAI,594.0,18,11.83
10215,MADGOAN JN.,ERNAKULAM. J,726.0,11,13.42
10216,ERNAKULAM. J,MADGOAN JN.,727.0,11,13.42
11001,SAI NAGAR SH,PANDHARPUR,348.0,10,7.25
11002,PANDHARPUR,SAI NAGAR SH,348.0,10,7.42
11003,DADAR,SAWANTWADI R,502.0,19,10.58
11004,SAWANTWADI R,DADAR,504.0,19,11.92
11005,DADAR,PONDICHERRY,1636.0,37,33.75
11006,PONDICHERRY,DADAR,1639.0,36,32.83
11007,CST-MUMBAI,PUNE JN.,191.0,10,4.08
11008,PUNE JN.,CST-MUMBAI,191.0,9,4.03
11009,CST-MUMBAI,PUNE JN.,191.0,10,4.17
11010,PUNE JN.,CST-MUMBAI,191.0,9,3.83
11011,LOKMANYA TIL,NANDED,723.0,14,16.67
11012,NANDED,LOKMANYA TIL,723.0,14,17.25
11013,LOKMANYA TIL,COIMBATORE,1515.0,32,32.67
11014,COIMBATORE,LOKMANYA TIL,1515.0,32,29.58
11015,LOKMANYA TIL,GORAKHPUR JN,1678.0,45,32.33
11016,GORAKHPUR JN,LOKMANYA TIL,1677.0,44,33.33
11017,LOKMANYA TIL,KARAIKAL,1631.0,28,30.5
11018,KARAIKAL,LOKMANYA TIL,1634.0,28,33.75
11019,CST-MUMBAI,BHUBANESWAR,1941.0,37,37.08
11020,BHUBANESWAR,CST-MUMBAI,1941.0,38,36.5
11021,DADAR,TIRUNELVELI,1843.0,38,38.25
11022,TIRUNELVELI,DADAR,1845.0,37,38.67
11023,CST-MUMBAI,CHHATRAPATI,517.0,26,12.25
11024,CHHATRAPATI,CST-MUMBAI,517.0,29,13.0
11025,BHUSAVAL JN.,PUNE JN.,545.0,17,11.67
11026,PUNE JN.,BHUSAVAL JN.,545.0,17,10.08
11027,CST-MUMBAI,CHENNAI CENT,1281.0,50,27.75
11028,CHENNAI CENT,CST-MUMBAI,1283.0,50,27.83
11029,CST-MUMBAI,CHHATRAPATI,517.0,33,11.75
11030,CHHATRAPATI,CST-MUMBAI,517.0,32,12.17
11031,SOLAPUR,BIJAPUR JN,108.0,3,2.17
11032,BIJAPUR JN,SOLAPUR,108.0,3,2.83
11033,PUNE JN.,DARBHANGA JN,1955.0,28,38.5
11034,DARBHANGA JN,PUNE JN.,1953.0,28,39.33
11035,DADAR,MYSORE JN.,1210.0,25,24.17
11036,MYSORE JN.,DADAR,1213.0,24,23.42
11037,PUNE JN.,GORAKHPUR JN,1777.0,15,32.83
11038,GORAKHPUR JN,PUNE JN.,1777.0,15,36.58
11039,CHHATRAPATI,GONDIA JN.,1352.0,60,28.75
11040,GONDIA JN.,CHHATRAPATI,1353.0,58,28.42
11041,CST-MUMBAI,CHENNAI CENT,1281.0,34,26.5
11042,CHENNAI CENT,CST-MUMBAI,1283.0,32,25.25
11043,LOKMANYA TIL,MADURAI JN,1696.0,25,33.92
11044,MADURAI JN,LOKMANYA TIL,1700.0,24,35.75
11045,CHHATRAPATI,DHANBAD JN.,2894.0,37,60.25
11046,DHANBAD JN.,CHHATRAPATI,2892.0,37,61.75
11047,MIRAJ JN.,HUBLI JN.,278.0,10,6.25
11048,HUBLI JN.,MIRAJ JN.,279.0,10,5.75
11049,AHMEDABAD,CHHATRAPATI,949.0,16,20.0
11050,CHHATRAPATI,AHMEDABAD,949.0,16,18.92
11051,SOLAPUR,CHHATRAPATI,314.0,7,6.75
11052,CHHATRAPATI,SOLAPUR,314.0,7,7.58
11053,LOKMANYA TIL,AZAMGARH,1552.0,15,33.5
11054,AZAMGARH,LOKMANYA TIL,1551.0,15,30.92
11055,LOKMANYA TIL,GORAKHPUR JN,1732.0,21,33.42
11056,GORAKHPUR JN,LOKMANYA TIL,1732.0,21,33.92
11057,CST-MUMBAI,AMRITSAR JN.,2026.0,88,41.0
11058,AMRITSAR JN.,CST-MUMBAI,2029.0,89,43.58
11059,LOKMANYA TIL,CHHAPRA JN.,1772.0,22,34.17
11060,CHHAPRA JN.,LOKMANYA TIL,1770.0,22,35.0
11061,LOKMANYA TIL,DARBHANGA JN,1885.0,39,36.92
11062,DARBHANGA JN,LOKMANYA TIL,1883.0,37,38.58
11063,CHENNAI EGMO,SALEM JN.,352.0,12,6.33
11064,SALEM JN.,CHENNAI EGMO,352.0,12,6.42
11067,LOKMANYA TIL,FAIZABAD JN.,1510.0,18,27.53
11068,FAIZABAD JN.,LOKMANYA TIL,1509.0,18,29.92
11071,LOKMANYA TIL,VARANASI JN.,1645.0,41,30.75
11072,VARANASI JN.,LOKMANYA TIL,1647.0,39,31.0
11073,LOKMANYA TIL,CHENNAI CENT,1265.0,16,23.58
11074,CHENNAI CENT,LOKMANYA TIL,1267.0,15,24.75
11075,LOKMANYA TIL,BIDAR,651.0,11,13.42
11076,BIDAR,LOKMANYA TIL,651.0,11,15.58
11077,PUNE JN.,JAMMU TAWI,2155.0,65,40.75
11078,JAMMU TAWI,PUNE JN.,2157.0,63,41.42
11079,LOKMANYA TIL,GORAKHPUR JN,1745.0,23,33.67
11080,GORAKHPUR JN,LOKMANYA TIL,1745.0,22,34.5
11081,LOKMANYA TIL,GORAKHPUR JN,1731.0,18,34.25
11082,GORAKHPUR JN,LOKMANYA TIL,1731.0,17,33.92
11083,LOKMANYA TIL,KAZIPET JN.,1153.0,27,27.5
11084,KAZIPET JN.,LOKMANYA TIL,1153.0,26,29.5
11085,LOKMANYA TIL,MADGOAN JN.,574.0,9,11.95
11086,MADGOAN JN.,LOKMANYA TIL,578.0,9,11.17
11087,VERAVAL,PUNE JN.,1053.0,24,20.25
11088,PUNE JN.,VERAVAL,1053.0,23,20.92
11089,BHAGAT-KI-KO,PUNE JN.,1074.0,24,23.17
11090,PUNE JN.,BHAGAT-KI-KO,1072.0,24,21.33
11091,NEW BHUJ,PUNE JN.,981.0,22,19.75
11092,PUNE JN.,NEW BHUJ,981.0,22,19.5
11093,CST-MUMBAI,VARANASI JN.,1516.0,25,28.5
11094,VARANASI JN.,CST-MUMBAI,1515.0,24,26.92
11095,AHMEDABAD,PUNE JN.,623.0,15,12.42
11096,PUNE JN.,AHMEDABAD,622.0,14,11.92
11097,PUNE JN.,ERNAKULAM. J,1278.0,31,32.67
11098,ERNAKULAM. J,PUNE JN.,1279.0,30,29.58
11101,PUNE JN.,GWALIOR JN,1373.0,21,26.75
11102,GWALIOR JN,PUNE JN.,1373.0,21,29.08
11103,JHANSI JN,BANDRA TERMI,1321.0,19,23.92
11104,BANDRA TERMI,JHANSI JN,1321.0,19,25.5
11107,GWALIOR JN,VARANASI JN.,629.0,29,14.17
11108,VARANASI JN.,GWALIOR JN,629.0,35,15.33
11109,JHANSI JN,LUCKNOW JN.,291.0,9,5.92
11110,LUCKNOW JN.,JHANSI JN,291.0,9,5.92
11111,GWALIOR JN,"BALRAMPUR,",939.0,10,19.92
11112,"BALRAMPUR,",GWALIOR JN,941.0,10,18.25
11123,BARAUNI JN.,GWALIOR JN,1051.0,47,26.17
11124,GWALIOR JN,BARAUNI JN.,1054.0,47,25.17
11125,INDORE BG,GWALIOR JN,561.0,9,11.7
11126,GWALIOR JN,INDORE BG,561.0,9,12.42
11201,LOKMANYA TIL,AJNI,1015.0,24,21.58
11202,AJNI,LOKMANYA TIL,1015.0,24,21.5
11203,NAGPUR JN.(C,JAIPUR JN.,1340.0,26,26.17
11204,JAIPUR JN.,NAGPUR JN.(C,1340.0,26,26.75
11205,LOKMANYA TIL,NIZAMABAD,699.0,18,16.58
11206,NIZAMABAD,LOKMANYA TIL,699.0,18,14.5
11265,JABALPUR,AMBIKAPUR,432.0,12,9.0
11266,AMBIKAPUR,JABALPUR,434.0,12,8.67
11272,BHOPAL,ITARSI,737.0,45,17.92
11301,CST-MUMBAI,KRANTIVIRA S,1154.0,33,24.67
11302,KRANTIVIRA S,CST-MUMBAI,1154.0,32,23.5
11303,HYDERABAD DE,CHHATRAPATI,989.0,36,23.5
11304,CHHATRAPATI,HYDERABAD DE,987.0,36,23.17
11307,GULBARGA,HYDERABAD DE,221.0,5,4.58
11308,HYDERABAD DE,GULBARGA,223.0,5,5.0
11309,SOLAPUR,MIRAJ JN.,267.0,12,6.08
11310,MIRAJ JN.,SOLAPUR,267.0,12,5.5
11401,CST-MUMBAI,NAGPUR JN.(C,1053.0,32,23.67
11402,NAGPUR JN.(C,CST-MUMBAI,1052.0,32,23.58
11403,NAGPUR JN.(C,CHHATRAPATI,1026.0,20,23.0
11404,CHHATRAPATI,NAGPUR JN.(C,1026.0,20,23.75
11405,PUNE JN.,AMRAVATI,811.0,16,17.0
11406,AMRAVATI,PUNE JN.,812.0,16,18.75
11407,PUNE JN.,LUCKNOW JN.,1478.0,15,28.5
11408,LUCKNOW JN.,PUNE JN.,1478.0,15,28.58
11423,SOLAPUR,HUBLI JN.,357.0,12,8.08
11424,HUBLI JN.,SOLAPUR,356.0,12,8.25
11447,JABALPUR,HOWRAH JN.,1156.0,43,28.42
11448,HOWRAH JN.,JABALPUR,1155.0,44,25.25
11449,JABALPUR,SHRI MATA VA,1561.0,32,32.83
11450,SHRI MATA VA,JABALPUR,1564.0,29,33.5
11463,SOMNATH,JABALPUR,1416.0,48,29.67
11464,JABALPUR,SOMNATH,1417.0,48,29.75
11465,SOMNATH,JABALPUR,1572.0,47,32.5
11466,JABALPUR,SOMNATH,1575.0,48,31.75
11651,JABALPUR,SINGRAULI,344.0,12,6.92
11652,SINGRAULI,JABALPUR,345.0,12,7.0
11701,JABALPUR,INDORE BG,751.0,14,14.83
11702,INDORE BG,JABALPUR,751.0,14,15.42
11703,REWA,MHOW,823.0,18,16.92
11704,MHOW,REWA,821.0,18,16.08
11801,JHANSI JN,ETAWAH,215.0,4,5.08
11802,ETAWAH,JHANSI JN,215.0,4,4.92
11901,MATHURA JN.,KURUKSHETRA,292.0,11,7.17
11902,KURUKSHETRA,MATHURA JN.,294.0,11,6.67
12001,HABIBGANJ,NEW DELHI,688.0,8,8.5
12002,NEW DELHI,HABIBGANJ,690.0,8,8.42
12003,LUCKNOW JN.,NEW DELHI,504.0,5,6.67
12004,NEW DELHI,LUCKNOW JN.,504.0,5,6.5
12005,NEW DELHI,KALKA,268.0,3,4.08
12006,KALKA,NEW DELHI,268.0,3,4.08
12007,CHENNAI CENT,MYSORE JN.,498.0,2,7.0
12008,MYSORE JN.,CHENNAI CENT,499.0,2,7.17
12009,MUMBAI CENTR,AHMEDABAD,490.0,7,6.33
12010,AHMEDABAD,MUMBAI CENTR,490.0,7,6.67
12011,NEW DELHI,KALKA,268.0,4,4.08
12012,KALKA,NEW DELHI,268.0,4,4.17
12013,NEW DELHI,AMRITSAR JN.,447.0,6,6.0
12014,AMRITSAR JN.,NEW DELHI,447.0,6,6.0
