Train_No,Origin_Station,Destination_Station,Total_Distance,Number_of_Stops,Journey_Duration_Hours
22912,HOWRAH JN.,INDORE BG,1745.0,32,31.83
22914,PATNA JN.,BANDRA TERMI,1846.0,11,32.42
22915,BANDRA TERMI,HISAR JN,1404.0,28,24.5
22916,HISAR JN,BANDRA TERMI,1405.0,28,25.0
22917,BANDRA TERMI,HARIDWAR JN,1610.0,24,28.08
22918,HARIDWAR JN,BANDRA TERMI,1613.0,24,27.25
22919,CHENNAI CENT,AHMEDABAD,1721.0,10,31.08
22920,AHMEDABAD,CHENNAI CENT,1719.0,10,31.08
22925,AMBALA CANTT,KALKA,69.0,1,1.5
22926,KALKA,AMBALA CANTT,69.0,1,1.75
22927,BANDRA TERMI,AHMEDABAD,480.0,20,8.67
22928,AHMEDABAD,BANDRA TERMI,480.0,15,8.67
22929,BHILAD,VADODARA JN.,234.0,12,4.17
22930,VADODARA JN.,BHILAD,234.0,12,4.08
22931,BANDRA TERMI,JAISALMER,1226.0,25,22.25
22932,JAISALMER,BANDRA TERMI,1227.0,25,22.25
22933,BANDRA TERMI,JAIPUR JN.,1146.0,13,18.92
22934,JAIPUR JN.,BANDRA TERMI,1147.0,13,18.83
22935,BANDRA TERMI,PALITANA,787.0,10,14.08
22936,PALITANA,BANDRA TERMI,787.0,10,14.25
22937,RAJKOT,REWA,1600.0,21,27.25
22938,REWA,RAJKOT,1600.0,21,28.33
22939,HAPA,BILASPUR JN.,1689.0,21,30.42
22940,BILASPUR JN.,HAPA,1697.0,21,30.67
22941,INDORE BG,JAMMU TAWI,1393.0,14,25.5
22942,JAMMU TAWI,INDORE BG,1396.0,14,24.25
22943,PUNE JN.,INDORE BG,963.0,15,16.92
22944,INDORE BG,PUNE JN.,963.0,15,17.5
22945,MUMBAI CENTR,OKHA,986.0,28,18.0
22946,OKHA,MUMBAI CENTR,986.0,29,18.0
22949,BANDRA TERMI,DELHI-SARAI,1342.0,25,24.42
22951,BANDRA TERMI,GANDHIDHAM J,853.0,13,15.58
22952,GANDHIDHAM J,BANDRA TERMI,853.0,13,15.58
22953,MUMBAI CENTR,AHMEDABAD,490.0,25,8.92
22954,AHMEDABAD,MUMBAI CENTR,490.0,25,8.92
22955,BANDRA TERMI,NEW BHUJ,838.0,20,15.08
22956,NEW BHUJ,BANDRA TERMI,838.0,20,15.17
22957,AHMEDABAD,VERAVAL,430.0,14,7.83
22959,SURAT,JAMNAGAR,556.0,19,10.17
22960,JAMNAGAR,SURAT,556.0,19,10.08
22961,SURAT,HAPA,547.0,16,9.75
22962,HAPA,SURAT,547.0,16,9.92
22963,BANDRA TERMI,BHAVNAGAR TE,780.0,16,13.92
22964,BHAVNAGAR TE,BANDRA TERMI,780.0,16,14.08
22965,BANDRA TERMI,BHAGAT-KI-KO,929.0,8,16.92
22966,BHAGAT-KI-KO,BANDRA TERMI,931.0,8,17.08
22967,AHMEDABAD,ALLAHABAD JN,1488.0,18,26.67
22968,ALLAHABAD JN,AHMEDABAD,1487.0,18,27.08
22969,OKHA,VARANASI JN.,2023.0,21,37.08
22970,VARANASI JN.,OKHA,2024.0,21,34.92
22971,BANDRA TERMI,PATNA JN.,1847.0,12,33.5
22972,PATNA JN.,BANDRA TERMI,1846.0,12,32.38
22973,GANDHIDHAM J,PURI,2436.0,36,44.0
22974,PURI,GANDHIDHAM J,2443.0,36,44.17
22981,KOTA,SHRI GANGANA,918.0,26,16.67
22982,SHRI GANGANA,KOTA,919.0,26,16.17
22983,KOTA,INDORE BG,432.0,12,7.75
22989,BANDRA TERMI,MAHUVA,881.0,14,15.58
22990,MAHUVA,BANDRA TERMI,881.0,14,15.75
22991,BANDRA TERMI,VERAVAL,910.0,10,15.83
22992,VERAVAL,BANDRA TERMI,910.0,10,16.5
22993,BANDRA TERMI,MAHUVA,881.0,13,15.75
22994,MAHUVA,BANDRA TERMI,881.0,13,16.0
22995,CHITTAURGARH,AJMER JN.,185.0,2,3.5
22996,AJMER JN.,CHITTAURGARH,185.0,2,3.17
23141,RANINAGAR JA,HALDIBARI,30.0,1,0.83
23142,HALDIBARI,RANINAGAR JA,30.0,1,0.75
23225,SAHARSA JN.,BARAUNI JN.,109.0,9,3.17
23226,BARAUNI JN.,SAHARSA JN.,109.0,9,3.67
23345,CHOPAN,SHAKTINAGAR,81.0,4,2.42
23346,SHAKTINAGAR,CHOPAN,81.0,4,1.92
23347,SINGRAULI,GARWA ROAD J,204.0,9,6.0
23348,GARWA ROAD J,SINGRAULI,204.0,9,5.67
24041,NAJIBABAD JN,KOTDWARA,24.0,1,0.83
24042,KOTDWARA,NAJIBABAD JN,24.0,1,0.92
24227,VARANASI JN.,KANPUR CENTR,349.0,13,6.83
24228,KANPUR CENTR,VARANASI JN.,349.0,13,7.5
24369,SHAKTINAGAR,BAREILLY JN.,740.0,36,20.67
24370,BAREILLY JN.,SHAKTINAGAR,740.0,36,20.0
24887,HARIDWAR JN,AMBALA CANTT,157.0,4,3.5
24888,AMBALA CANTT,HARIDWAR JN,157.0,4,4.33
25013,MORADABAD JN,RAMNAGAR,76.0,1,2.5
25014,RAMNAGAR,MORADABAD JN,76.0,1,2.08
25035,MORADABAD JN,RAMNAGAR,76.0,1,1.5
25036,RAMNAGAR,MORADABAD JN,76.0,1,1.92
25201,SAGAULI JN.,NARKATIAGANJ,58.0,4,1.58
25202,NARKATIAGANJ,SAGAULI JN.,58.0,4,1.25
25631,BIKANER JN.,MERTA ROAD J,173.0,2,3.17
25632,MERTA ROAD J,BIKANER JN.,172.0,2,3.83
25657,SEALDAH,SILCHAR,1358.0,35,33.67
25658,SILCHAR,SEALDAH,1357.0,35,32.92
28181,BARAUNI JN.,KATIHAR JN.,179.0,12,4.92
28182,KATIHAR JN.,BARAUNI JN.,179.0,12,4.5
29019,MANDSOR,KOTA,276.0,6,4.67
29020,KOTA,MANDSOR,276.0,6,4.92
30111,BALLYGUNGE J,BARRACKPORE,45.0,21,2.07
30112,BARRACKPORE,MAJERHAT,33.0,17,1.78
30116,BARRACKPORE,BENOY BADAL,25.0,12,0.85
30121,NEW ALIPUR (,NAIHATI JN.,51.0,24,1.93
30122,NAIHATI JN.,BALLYGUNGE J,60.0,27,2.22
30123,MAJERHAT,NAIHATI JN.,49.0,23,1.65
30128,KALYANI SIMA,NEW ALIPUR (,66.0,30,2.45
30135,MAJERHAT,RANAGHAT JN.,84.0,32,2.68
30142,GEDE,MAJERHAT,128.0,40,3.22
30145,BENOY BADAL,KRISHNA NAGA,102.0,32,2.62
30152,NAIHATI JN.,MAJERHAT,53.0,19,1.68
30154,NAIHATI JN.,MAJERHAT,53.0,19,1.58
30211,BENOY BADAL,DUM DUM JN.,9.0,6,0.48
30311,PRINCEP GHAT,BARASAT JN.,28.0,16,1.25
30312,BARASAT JN.,MAJERHAT,33.0,19,1.53
30313,MAJERHAT,BARASAT JN.,33.0,19,1.47
30314,DATTAPUKUR,MAJERHAT,41.0,21,1.53
30317,MAJERHAT,DATTAPUKUR,41.0,21,1.82
30321,MAJERHAT,HASANABAD,85.0,33,3.12
30322,HASANABAD,BENOY BADAL,77.0,32,2.38
30324,HASANABAD,PRINCEP GHAT,80.0,34,3.07
30331,MAJERHAT,HABRA,55.0,25,2.07
30332,HABRA,MAJERHAT,55.0,25,2.23
30333,MAJERHAT,HABRA,55.0,25,2.03
30342,BANGAON JN.,MAJERHAT,87.0,26,2.62
30344,BANGAON JN.,MAJERHAT,87.0,32,2.63
30346,BANGAON JN.,MAJERHAT,87.0,32,2.75
30351,MAJERHAT,BARASAT JN.,37.0,15,1.33
30353,MAJERHAT,DATTAPUKUR,45.0,17,1.47
30357,MAJERHAT,MADHYAM GRAM,33.0,13,1.48
30358,MADHYAM GRAM,MAJERHAT,33.0,13,1.2
30361,MAJERHAT,HASANABAD,90.0,29,2.67
