,count,mean,std,min,25%,50%,75%,max
Total_Distance,11113.0,348.66534689102855,595.8109267254381,1.0,38.0,82.0,324.0,4260.0
Number_of_Stops,11113.0,14.743813551696212,12.99312285969079,0.0,6.0,13.0,20.0,116.0
