,count,mean,min,max
,Number_of_Stops,Number_of_Stops,Number_of_Stops,Number_of_Stops
Train_No,,,,
59550,1,6.0,6,6
59601,1,17.0,17,17
59602,1,17.0,17,17
59603,1,37.0,37,37
59604,1,37.0,37,37
59605,1,11.0,11,11
59606,1,11.0,11,11
59607,1,3.0,3,3
59608,1,3.0,3,3
59705,1,53.0,53,53
59706,1,53.0,53,53
59707,1,8.0,8,8
59708,1,7.0,7,7
59709,1,8.0,8,8
59710,1,9.0,9,9
59711,1,15.0,15,15
59712,1,15.0,15,15
59713,1,8.0,8,8
59714,1,8.0,8,8
59715,1,26.0,26,26
59716,1,26.0,26,26
59717,1,26.0,26,26
59718,1,26.0,26,26
59719,1,26.0,26,26
59720,1,26.0,26,26
59721,1,40.0,40,40
59722,1,40.0,40,40
59727,1,23.0,23,23
59728,1,15.0,15,15
59729,1,15.0,15,15
59730,1,23.0,23,23
59731,1,8.0,8,8
59732,1,8.0,8,8
59733,1,7.0,7,7
59734,1,7.0,7,7
59735,1,2.0,2,2
59736,1,2.0,2,2
59803,1,22.0,22,22
59804,1,22.0,22,22
59805,1,21.0,21,21
59806,1,20.0,20,20
59811,1,69.0,69,69
59812,1,69.0,69,69
59813,1,40.0,40,40
59814,1,39.0,39,39
59821,1,40.0,40,40
59822,1,45.0,45,45
59823,1,12.0,12,12
59824,1,12.0,12,12
59825,1,12.0,12,12
59826,1,12.0,12,12
59827,1,1.0,1,1
59828,1,1.0,1,1
59831,1,62.0,62,62
59832,1,61.0,61,61
59833,1,13.0,13,13
59834,1,13.0,13,13
59835,1,18.0,18,18
59836,1,18.0,18,18
59837,1,9.0,9,9
59838,1,9.0,9,9
59839,1,9.0,9,9
59840,1,9.0,9,9
61631,1,14.0,14,14
61632,1,14.0,14,14
63105,1,29.0,29,29
63108,1,32.0,32,32
63141,1,28.0,28,28
63142,1,34.0,34,34
63151,1,1.0,1,1
63153,1,1.0,1,1
63154,1,1.0,1,1
63155,1,1.0,1,1
63156,1,1.0,1,1
63157,1,1.0,1,1
63158,1,1.0,1,1
63159,1,1.0,1,1
63160,1,1.0,1,1
63161,1,1.0,1,1
63162,1,1.0,1,1
63163,1,1.0,1,1
63164,1,1.0,1,1
63165,1,1.0,1,1
63166,1,1.0,1,1
63167,1,0.0,0,0
63168,1,0.0,0,0
63169,1,1.0,1,1
63203,1,6.0,6,6
63204,1,6.0,6,6
63205,1,23.0,23,23
63206,1,20.0,20,20
63207,1,28.0,28,28
63208,1,32.0,32,32
63209,1,27.0,27,27
63210,1,28.0,28,28
63211,1,32.0,32,32
