,count,mean,min,max
,Number_of_Stops,Number_of_Stops,Number_of_Stops,Number_of_Stops
Train_No,,,,
53178,1,34.0,34,34
53179,1,33.0,33,33
53180,1,37.0,37,37
53181,1,32.0,32,32
53186,1,31.0,31,31
53207,1,3.0,3,3
53208,1,3.0,3,3
53209,1,6.0,6,6
53210,1,6.0,6,6
53211,1,11.0,11,11
53212,1,11.0,11,11
53213,1,24.0,24,24
53214,1,23.0,23,23
53221,1,6.0,6,6
53222,1,6.0,6,6
53223,1,6.0,6,6
53224,1,5.0,5,5
53225,1,11.0,11,11
53226,1,11.0,11,11
53229,1,17.0,17,17
53230,1,16.0,16,16
53231,1,18.0,18,18
53232,1,18.0,18,18
53323,1,5.0,5,5
53324,1,5.0,5,5
53327,1,10.0,10,10
53328,1,10.0,10,10
53333,1,4.0,4,4
53334,1,4.0,4,4
53343,1,57.0,57,57
53344,1,56.0,56,56
53345,1,21.0,21,21
53346,1,21.0,21,21
53347,1,34.0,34,34
53348,1,33.0,33,33
53349,1,22.0,22,22
53350,1,22.0,22,22
53351,1,29.0,29,29
53352,1,29.0,29,29
53357,1,41.0,41,41
53358,1,40.0,40,40
53363,1,12.0,12,12
53364,1,12.0,12,12
53365,1,7.0,7,7
53366,1,7.0,7,7
53369,1,7.0,7,7
53370,1,7.0,7,7
53371,1,14.0,14,14
53372,1,14.0,14,14
53373,1,14.0,14,14
53374,1,14.0,14,14
53401,1,17.0,17,17
53402,1,17.0,17,17
53403,1,64.0,64,64
53404,1,19.0,19,19
53405,1,20.0,20,20
53406,1,20.0,20,20
53408,1,44.0,44,44
53411,1,8.0,8,8
53412,1,8.0,8,8
53415,1,29.0,29,29
53416,1,29.0,29,29
53417,1,37.0,37,37
53418,1,37.0,37,37
53423,1,11.0,11,11
53424,1,11.0,11,11
53431,1,29.0,29,29
53432,1,29.0,29,29
53433,1,17.0,17,17
53434,1,17.0,17,17
53435,1,17.0,17,17
53436,1,16.0,16,16
53441,1,14.0,14,14
53442,1,14.0,14,14
53443,1,14.0,14,14
53444,1,16.0,16,16
53445,1,14.0,14,14
53446,1,14.0,14,14
