,Total_Distance,Total_Stations,Number_of_Stops,Departure_Minutes,Journey_Duration_Minutes,Journey_Duration_Hours
Total_Distance,1.0,0.46239783135113743,0.46239783135113727,0.07855264409901931,0.98200984347896,0.9820095452702247
Total_Stations,0.46239783135113743,1.0,1.0,-0.047578359414704896,0.5440133682203123,0.5440158388047556
Number_of_Stops,0.46239783135113727,1.0,1.0,-0.04757835941470482,0.5440133682203123,0.5440158388047553
Departure_Minutes,0.07855264409901931,-0.047578359414704896,-0.04757835941470482,1.0,0.06734865865268706,0.06735320268137218
Journey_Duration_Minutes,0.98200984347896,0.5440133682203123,0.5440133682203123,0.06734865865268706,1.0,0.9999999715439059
Journey_Duration_Hours,0.9820095452702247,0.5440158388047556,0.5440158388047553,0.06735320268137218,0.9999999715439059,1.0
