Model,MAE,RMSE,R2
Random Forest,35.09399772006868,150.46863671676414,0.9501196467939522
Multiple Linear Regression,58.55680671170392,157.44579472824634,0.9453865416708434
Basic Linear Regression,67.41394861985212,167.38110100935162,0.93827652221133
